game_id,seed,game_index_within_seed,strategy,winner,village_win,wolf_win,seer_seat,seer_side,seer_seat_type,wolf_seats,wolves_on_edge,wolves_on_inner,wolves_left_side,wolves_right_side,first_check_target,first_check_target_role,first_check_target_is_wolf,first_check_target_seat_type,first_check_target_side,all_seer_check_targets_in_order,all_seer_check_roles_in_order,total_seer_checks,seer_found_any_wolf,seer_found_wolf_count,first_check_wolf,seer_survived_to_game_end,seer_death_round,total_rounds,final_alive_players,final_alive_wolves,final_alive_villagers
default_seed_42_game_11,42,11,default,village,1,0,7,right,inner,"[1,4,9]",1,2,2,1,1,werewolf,1,edge,left,"[1,10,8]","[""werewolf"",""hunter"",""witch""]",3,1,1,1,0,3,3,4,0,4
default_seed_42_game_12,42,12,default,village,1,0,6,right,edge,"[3,5,9]",1,2,2,1,10,villager,0,edge,right,"[10,5,10,10]","[""villager"",""werewolf"",""villager"",""villager""]",4,1,1,0,0,4,4,2,0,2
default_seed_42_game_13,42,13,default,wolf,0,1,6,right,edge,"[2,5,7]",1,2,2,1,1,villager,0,edge,left,"[1,2,1,9]","[""villager"",""werewolf"",""villager"",""villager""]",4,1,1,0,1,,4,2,1,1
default_seed_42_game_14,42,14,default,wolf,0,1,3,left,inner,"[7,8,10]",1,2,0,3,5,villager,0,edge,left,[5],"[""villager""]",1,0,0,0,0,1,2,6,3,3
default_seed_42_game_15,42,15,default,wolf,0,1,3,left,inner,"[1,2,5]",2,1,3,0,10,hunter,0,edge,right,[10],"[""hunter""]",1,0,0,0,0,1,4,2,1,1
default_seed_42_game_16,42,16,default,village,1,0,8,right,inner,"[2,3,7]",0,3,2,1,9,hunter,0,inner,right,"[9,6,10]","[""hunter"",""villager"",""villager""]",3,0,0,0,0,3,4,3,0,3
default_seed_42_game_17,42,17,default,village,1,0,3,left,inner,"[2,7,9]",0,3,1,2,2,werewolf,1,inner,left,"[2,4,4]","[""werewolf"",""witch"",""witch""]",3,1,1,1,1,,3,4,0,4
default_seed_42_game_18,42,18,default,village,1,0,4,left,inner,"[3,7,10]",1,2,1,2,9,villager,0,inner,right,"[9,7]","[""villager"",""werewolf""]",2,1,1,0,0,2,3,3,0,3
default_seed_42_game_19,42,19,default,village,1,0,1,left,edge,"[2,9,10]",1,2,1,2,4,villager,0,inner,left,"[4,5,2]","[""villager"",""villager"",""werewolf""]",3,1,1,0,1,,3,4,0,4
default_seed_42_game_20,42,20,default,wolf,0,1,1,left,edge,"[7,8,9]",0,3,0,3,7,werewolf,1,inner,right,"[7,3,2]","[""werewolf"",""villager"",""villager""]",3,1,1,1,0,3,3,4,2,2
default_seed_42_game_21,42,21,default,wolf,0,1,4,left,inner,"[1,7,8]",1,2,1,2,6,villager,0,edge,right,[6],"[""villager""]",1,0,0,0,0,1,3,4,2,2
default_seed_42_game_22,42,22,default,village,1,0,2,left,inner,"[1,6,9]",2,1,1,2,9,werewolf,1,inner,right,"[9,8,10]","[""werewolf"",""hunter"",""witch""]",3,1,1,1,1,,3,4,0,4
default_seed_42_game_23,42,23,default,wolf,0,1,8,right,inner,"[1,6,10]",3,0,1,2,9,villager,0,inner,right,"[9,4]","[""villager"",""villager""]",2,0,0,0,0,2,4,2,1,1
default_seed_42_game_24,42,24,default,wolf,0,1,3,left,inner,"[1,5,6]",3,0,2,1,7,witch,0,inner,right,[7],"[""witch""]",1,0,0,0,0,1,3,4,2,2
default_seed_42_game_25,42,25,default,wolf,0,1,9,right,inner,"[2,8,10]",1,2,1,2,10,werewolf,1,edge,right,[10],"[""werewolf""]",1,1,1,1,0,1,3,2,1,1
default_seed_42_game_26,42,26,default,village,1,0,2,left,inner,"[1,5,7]",2,1,2,1,6,villager,0,edge,right,"[6,7,5]","[""villager"",""werewolf"",""werewolf""]",3,1,2,0,1,,3,3,0,3
default_seed_42_game_27,42,27,default,wolf,0,1,7,right,inner,"[1,8,10]",2,1,1,2,8,werewolf,1,inner,right,[8],"[""werewolf""]",1,1,1,1,0,1,4,2,1,1
default_seed_42_game_28,42,28,default,village,1,0,8,right,inner,"[1,5,7]",2,1,2,1,9,villager,0,inner,right,"[9,7,9]","[""villager"",""werewolf"",""villager""]",3,1,1,0,0,3,3,4,0,4
default_seed_42_game_29,42,29,default,wolf,0,1,4,left,inner,"[5,7,9]",1,2,1,2,10,witch,0,edge,right,"[10,1]","[""witch"",""villager""]",2,0,0,0,0,2,4,2,1,1
default_seed_42_game_30,42,30,default,wolf,0,1,5,left,edge,"[1,2,9]",1,2,2,1,3,villager,0,inner,left,"[3,6]","[""villager"",""villager""]",2,0,0,0,0,2,4,2,1,1
default_seed_42_game_31,42,31,default,village,1,0,8,right,inner,"[2,7,9]",0,3,1,2,2,werewolf,1,inner,left,"[2,1]","[""werewolf"",""hunter""]",2,1,1,1,0,2,4,2,0,2
default_seed_42_game_32,42,32,default,village,1,0,7,right,inner,"[4,6,9]",1,2,1,2,1,villager,0,edge,left,"[1,10]","[""villager"",""villager""]",2,0,0,0,1,,2,5,0,5
default_seed_42_game_33,42,33,default,wolf,0,1,5,left,edge,"[1,3,6]",2,1,2,1,8,villager,0,inner,right,"[8,7]","[""villager"",""villager""]",2,0,0,0,0,2,2,6,3,3
default_seed_42_game_34,42,34,default,wolf,0,1,10,right,edge,"[3,5,8]",1,2,2,1,9,villager,0,inner,right,"[9,8]","[""villager"",""werewolf""]",2,1,1,0,0,2,4,2,1,1
default_seed_42_game_35,42,35,default,wolf,0,1,5,left,edge,"[3,9,10]",1,2,1,2,2,villager,0,inner,left,"[2,2,8,9]","[""villager"",""villager"",""hunter"",""werewolf""]",4,1,1,0,1,,4,4,2,2
default_seed_42_game_36,42,36,default,wolf,0,1,2,left,inner,"[3,4,10]",1,2,2,1,7,hunter,0,inner,right,"[7,8,7]","[""hunter"",""villager"",""hunter""]",3,0,0,0,1,,3,4,2,2
default_seed_42_game_37,42,37,default,village,1,0,2,left,inner,"[3,4,8]",0,3,2,1,6,villager,0,edge,right,"[6,4]","[""villager"",""werewolf""]",2,1,1,0,0,2,4,2,0,2
default_seed_42_game_38,42,38,default,wolf,0,1,10,right,edge,"[1,7,9]",1,2,1,2,9,werewolf,1,inner,right,[9],"[""werewolf""]",1,1,1,1,0,1,3,4,2,2
default_seed_42_game_39,42,39,default,wolf,0,1,10,right,edge,"[1,4,6]",2,1,2,1,6,werewolf,1,edge,right,"[6,4]","[""werewolf"",""werewolf""]",2,1,2,1,0,2,4,2,1,1
default_seed_42_game_40,42,40,default,village,1,0,7,right,inner,"[6,8,10]",2,1,0,3,9,villager,0,inner,right,"[9,2,9]","[""villager"",""villager"",""villager""]",3,0,0,0,0,3,3,3,0,3
default_seed_42_game_41,42,41,default,wolf,0,1,9,right,inner,"[1,2,7]",1,2,2,1,3,villager,0,inner,left,"[3,8]","[""villager"",""villager""]",2,0,0,0,0,2,2,6,3,3
default_seed_42_game_42,42,42,default,village,1,0,8,right,inner,"[2,5,10]",2,1,2,1,10,werewolf,1,edge,right,"[10,9,2]","[""werewolf"",""villager"",""werewolf""]",3,1,2,1,1,,3,4,0,4
default_seed_42_game_43,42,43,default,wolf,0,1,6,right,edge,"[1,4,8]",1,2,2,1,10,hunter,0,edge,right,"[10,4,10]","[""hunter"",""werewolf"",""hunter""]",3,1,1,0,0,3,4,2,1,1
default_seed_42_game_44,42,44,default,wolf,0,1,9,right,inner,"[1,7,8]",1,2,1,2,8,werewolf,1,inner,right,[8],"[""werewolf""]",1,1,1,1,0,1,3,2,1,1
default_seed_42_game_45,42,45,default,wolf,0,1,8,right,inner,"[2,5,9]",1,2,2,1,10,hunter,0,edge,right,"[10,4]","[""hunter"",""villager""]",2,0,0,0,0,2,2,6,3,3
default_seed_42_game_46,42,46,default,wolf,0,1,3,left,inner,"[1,8,10]",2,1,1,2,10,werewolf,1,edge,right,"[10,2,4]","[""werewolf"",""witch"",""villager""]",3,1,1,1,0,3,4,2,1,1
default_seed_42_game_47,42,47,default,wolf,0,1,8,right,inner,"[1,3,6]",2,1,2,1,4,witch,0,inner,left,"[4,4,6]","[""witch"",""witch"",""werewolf""]",3,1,1,0,0,3,3,6,3,3
default_seed_42_game_48,42,48,default,village,1,0,7,right,inner,"[1,3,6]",2,1,2,1,2,villager,0,inner,left,"[2,9,5,9]","[""villager"",""hunter"",""villager"",""hunter""]",4,0,0,0,0,4,4,3,0,3
default_seed_42_game_49,42,49,default,wolf,0,1,7,right,inner,"[4,6,8]",1,2,1,2,10,hunter,0,edge,right,"[10,10,4,8]","[""hunter"",""hunter"",""werewolf"",""werewolf""]",4,1,2,0,1,,4,2,1,1
default_seed_42_game_50,42,50,default,wolf,0,1,2,left,inner,"[1,5,7]",2,1,2,1,8,villager,0,inner,right,"[8,6,4,5]","[""villager"",""hunter"",""villager"",""werewolf""]",4,1,1,0,1,,4,2,1,1
default_seed_42_game_51,42,51,default,village,1,0,4,left,inner,"[2,7,10]",1,2,1,2,3,villager,0,inner,left,"[3,2,3]","[""villager"",""werewolf"",""villager""]",3,1,1,0,1,,3,4,0,4
default_seed_42_game_52,42,52,default,village,1,0,6,right,edge,"[1,2,9]",1,2,2,1,2,werewolf,1,inner,left,"[2,3,1]","[""werewolf"",""witch"",""werewolf""]",3,1,2,1,1,,3,5,0,5
default_seed_42_game_53,42,53,default,village,1,0,3,left,inner,"[4,5,9]",1,2,2,1,4,werewolf,1,inner,left,"[4,10]","[""werewolf"",""villager""]",2,1,1,1,0,2,3,4,0,4
default_seed_42_game_54,42,54,default,village,1,0,3,left,inner,"[6,7,8]",1,2,0,3,7,werewolf,1,inner,right,"[7,9]","[""werewolf"",""witch""]",2,1,1,1,0,2,3,2,0,2
default_seed_42_game_55,42,55,default,wolf,0,1,1,left,edge,"[4,9,10]",1,2,1,2,3,hunter,0,inner,left,"[3,4,5]","[""hunter"",""werewolf"",""villager""]",3,1,1,0,0,3,3,4,2,2
default_seed_42_game_56,42,56,default,wolf,0,1,3,left,inner,"[2,4,10]",1,2,2,1,8,witch,0,inner,right,[8],"[""witch""]",1,0,0,0,0,1,4,2,1,1
default_seed_42_game_57,42,57,default,wolf,0,1,10,right,edge,"[4,7,8]",0,3,1,2,3,villager,0,inner,left,"[3,9]","[""villager"",""villager""]",2,0,0,0,0,2,2,6,3,3
default_seed_42_game_58,42,58,default,village,1,0,1,left,edge,"[2,5,8]",1,2,2,1,5,werewolf,1,edge,left,"[5,9,6,2]","[""werewolf"",""villager"",""villager"",""werewolf""]",4,1,2,1,1,,4,2,0,2
default_seed_42_game_59,42,59,default,wolf,0,1,10,right,edge,"[1,7,9]",1,2,1,2,2,witch,0,inner,left,"[2,2,5]","[""witch"",""witch"",""villager""]",3,0,0,0,0,3,3,4,2,2
default_seed_42_game_60,42,60,default,wolf,0,1,3,left,inner,"[8,9,10]",1,2,0,3,4,villager,0,inner,left,[4],"[""villager""]",1,0,0,0,0,1,2,6,3,3
default_seed_42_game_61,42,61,default,village,1,0,6,right,edge,"[2,3,10]",1,2,2,1,8,villager,0,inner,right,"[8,10]","[""villager"",""werewolf""]",2,1,1,0,1,,2,6,0,6
default_seed_42_game_62,42,62,default,wolf,0,1,9,right,inner,"[6,7,10]",2,1,0,3,6,werewolf,1,edge,right,"[6,8,2]","[""werewolf"",""hunter"",""witch""]",3,1,1,1,0,3,3,4,2,2
default_seed_42_game_63,42,63,default,village,1,0,3,left,inner,"[5,6,10]",3,0,1,2,5,werewolf,1,edge,left,[5],"[""werewolf""]",1,1,1,1,0,1,4,2,0,2
default_seed_42_game_64,42,64,default,wolf,0,1,10,right,edge,"[3,4,9]",0,3,2,1,1,villager,0,edge,left,"[1,9,6]","[""villager"",""werewolf"",""villager""]",3,1,1,0,0,3,4,2,1,1
default_seed_42_game_65,42,65,default,wolf,0,1,1,left,edge,"[5,6,10]",3,0,1,2,7,witch,0,inner,right,"[7,8,7,4]","[""witch"",""villager"",""witch"",""villager""]",4,0,0,0,1,,4,2,1,1
default_seed_42_game_66,42,66,default,wolf,0,1,4,left,inner,"[1,2,9]",1,2,2,1,2,werewolf,1,inner,left,"[2,7,3]","[""werewolf"",""villager"",""villager""]",3,1,1,1,0,3,4,2,1,1
default_seed_42_game_67,42,67,default,village,1,0,2,left,inner,"[1,3,10]",2,1,2,1,10,werewolf,1,edge,right,"[10,3]","[""werewolf"",""werewolf""]",2,1,2,1,0,2,4,2,0,2
default_seed_42_game_68,42,68,default,wolf,0,1,9,right,inner,"[1,3,7]",1,2,2,1,1,werewolf,1,edge,left,"[1,8]","[""werewolf"",""villager""]",2,1,1,1,0,2,4,2,1,1
default_seed_42_game_69,42,69,default,village,1,0,7,right,inner,"[2,5,8]",1,2,2,1,1,hunter,0,edge,left,"[1,9]","[""hunter"",""villager""]",2,0,0,0,0,2,3,3,0,3
default_seed_42_game_70,42,70,default,wolf,0,1,10,right,edge,"[3,7,8]",0,3,1,2,2,villager,0,inner,left,"[2,8,9]","[""villager"",""werewolf"",""hunter""]",3,1,1,0,0,3,4,2,1,1
default_seed_42_game_71,42,71,default,wolf,0,1,6,right,edge,"[2,5,9]",1,2,2,1,10,villager,0,edge,right,[10],"[""villager""]",1,0,0,0,0,1,4,2,1,1
default_seed_42_game_72,42,72,default,wolf,0,1,4,left,inner,"[5,6,10]",3,0,1,2,5,werewolf,1,edge,left,"[5,1]","[""werewolf"",""hunter""]",2,1,1,1,0,2,4,2,1,1
default_seed_42_game_73,42,73,default,wolf,0,1,7,right,inner,"[2,4,9]",0,3,2,1,6,villager,0,edge,right,"[6,10]","[""villager"",""villager""]",2,0,0,0,0,2,3,4,2,2
default_seed_42_game_74,42,74,default,wolf,0,1,9,right,inner,"[1,2,6]",2,1,2,1,5,witch,0,edge,left,"[5,10,7]","[""witch"",""villager"",""villager""]",3,0,0,0,1,,3,4,2,2
default_seed_42_game_75,42,75,default,wolf,0,1,8,right,inner,"[1,7,9]",1,2,1,2,3,witch,0,inner,left,"[3,1,5,5]","[""witch"",""werewolf"",""villager"",""villager""]",4,1,1,0,1,,4,4,2,2
default_seed_42_game_76,42,76,default,village,1,0,8,right,inner,"[1,6,9]",2,1,1,2,2,villager,0,inner,left,"[2,5]","[""villager"",""witch""]",2,0,0,0,0,2,3,3,0,3
default_seed_42_game_77,42,77,default,wolf,0,1,7,right,inner,"[3,4,6]",1,2,2,1,8,villager,0,inner,right,"[8,9,1,6]","[""villager"",""witch"",""villager"",""werewolf""]",4,1,1,0,0,4,4,4,2,2
default_seed_42_game_78,42,78,default,village,1,0,4,left,inner,"[3,7,8]",0,3,1,2,1,hunter,0,edge,left,"[1,7]","[""hunter"",""werewolf""]",2,1,1,0,1,,2,6,0,6
default_seed_42_game_79,42,79,default,wolf,0,1,6,right,edge,"[1,5,8]",2,1,2,1,3,hunter,0,inner,left,"[3,10]","[""hunter"",""villager""]",2,0,0,0,0,2,4,2,1,1
default_seed_42_game_80,42,80,default,wolf,0,1,9,right,inner,"[7,8,10]",1,2,0,3,2,villager,0,inner,left,[2],"[""villager""]",1,0,0,0,0,1,2,6,3,3
default_seed_42_game_81,42,81,default,wolf,0,1,3,left,inner,"[2,4,9]",0,3,2,1,5,villager,0,edge,left,"[5,8]","[""villager"",""villager""]",2,0,0,0,0,2,3,4,2,2
default_seed_42_game_82,42,82,default,wolf,0,1,8,right,inner,"[2,5,9]",1,2,2,1,7,witch,0,inner,right,"[7,2]","[""witch"",""werewolf""]",2,1,1,0,0,2,4,2,1,1
default_seed_42_game_83,42,83,default,wolf,0,1,2,left,inner,"[3,6,10]",2,1,1,2,9,villager,0,inner,right,"[9,1]","[""villager"",""hunter""]",2,0,0,0,0,2,4,2,1,1
default_seed_42_game_84,42,84,default,village,1,0,5,left,edge,"[2,3,7]",0,3,2,1,8,witch,0,inner,right,"[8,3,7]","[""witch"",""werewolf"",""werewolf""]",3,1,2,0,1,,3,4,0,4
default_seed_42_game_85,42,85,default,wolf,0,1,3,left,inner,"[5,8,9]",1,2,1,2,2,hunter,0,inner,left,[2],"[""hunter""]",1,0,0,0,0,1,4,2,1,1
default_seed_42_game_86,42,86,default,village,1,0,4,left,inner,"[6,8,9]",1,2,0,3,1,villager,0,edge,left,"[1,2,6]","[""villager"",""villager"",""werewolf""]",3,1,1,0,1,,3,4,0,4
default_seed_42_game_87,42,87,default,wolf,0,1,9,right,inner,"[1,7,8]",1,2,1,2,7,werewolf,1,inner,right,"[7,2]","[""werewolf"",""villager""]",2,1,1,1,0,2,2,4,2,2
default_seed_42_game_88,42,88,default,wolf,0,1,7,right,inner,"[1,9,10]",2,1,1,2,6,hunter,0,edge,right,"[6,1,5]","[""hunter"",""werewolf"",""villager""]",3,1,1,0,1,,3,4,2,2
default_seed_42_game_89,42,89,default,wolf,0,1,1,left,edge,"[3,5,8]",1,2,2,1,5,werewolf,1,edge,left,"[5,2]","[""werewolf"",""hunter""]",2,1,1,1,0,2,4,2,1,1
default_seed_42_game_90,42,90,default,wolf,0,1,1,left,edge,"[4,7,10]",1,2,1,2,6,villager,0,edge,right,[6],"[""villager""]",1,0,0,0,0,1,2,6,3,3
default_seed_42_game_91,42,91,default,wolf,0,1,2,left,inner,"[4,6,9]",1,2,1,2,10,witch,0,edge,right,"[10,4,10]","[""witch"",""werewolf"",""witch""]",3,1,1,0,1,,3,4,2,2
default_seed_42_game_92,42,92,default,wolf,0,1,4,left,inner,"[2,9,10]",1,2,1,2,8,hunter,0,inner,right,"[8,2,7,7]","[""hunter"",""werewolf"",""villager"",""villager""]",4,1,1,0,0,4,4,2,1,1
default_seed_42_game_93,42,93,default,wolf,0,1,7,right,inner,"[6,8,10]",2,1,0,3,2,hunter,0,inner,left,"[2,4,8]","[""hunter"",""villager"",""werewolf""]",3,1,1,0,1,,3,6,3,3
default_seed_42_game_94,42,94,default,wolf,0,1,6,right,edge,"[2,7,8]",0,3,1,2,5,villager,0,edge,left,"[5,2]","[""villager"",""werewolf""]",2,1,1,0,0,2,3,4,2,2
default_seed_42_game_95,42,95,default,wolf,0,1,10,right,edge,"[1,3,5]",2,1,3,0,8,villager,0,inner,right,"[8,4]","[""villager"",""hunter""]",2,0,0,0,0,2,4,2,1,1
default_seed_42_game_96,42,96,default,wolf,0,1,1,left,edge,"[2,6,9]",1,2,1,2,10,hunter,0,edge,right,"[10,6]","[""hunter"",""werewolf""]",2,1,1,0,0,2,3,4,2,2
default_seed_42_game_97,42,97,default,wolf,0,1,10,right,edge,"[2,3,7]",0,3,2,1,3,werewolf,1,inner,left,"[3,7,5,4,2]","[""werewolf"",""werewolf"",""villager"",""villager"",""werewolf""]",5,1,3,1,0,5,5,2,1,1
default_seed_42_game_98,42,98,default,wolf,0,1,2,left,inner,"[4,5,10]",2,1,2,1,4,werewolf,1,inner,left,"[4,1]","[""werewolf"",""villager""]",2,1,1,1,0,2,3,4,2,2
default_seed_42_game_99,42,99,default,wolf,0,1,5,left,edge,"[2,4,9]",0,3,2,1,8,villager,0,inner,right,"[8,8]","[""villager"",""villager""]",2,0,0,0,1,,2,6,3,3
default_seed_42_game_100,42,100,default,wolf,0,1,8,right,inner,"[4,7,10]",1,2,1,2,10,werewolf,1,edge,right,"[10,3,9,9]","[""werewolf"",""villager"",""hunter"",""hunter""]",4,1,1,1,1,,4,4,2,2
default_seed_42_game_101,42,101,default,wolf,0,1,4,left,inner,"[2,7,9]",0,3,1,2,2,werewolf,1,inner,left,"[2,3,10,5]","[""werewolf"",""villager"",""villager"",""villager""]",4,1,1,1,0,4,4,2,1,1
default_seed_42_game_102,42,102,default,wolf,0,1,7,right,inner,"[2,3,4]",0,3,3,0,6,villager,0,edge,right,"[6,5]","[""villager"",""hunter""]",2,0,0,0,0,2,3,4,2,2
default_seed_42_game_103,42,103,default,wolf,0,1,6,right,edge,"[8,9,10]",1,2,0,3,1,villager,0,edge,left,"[1,10]","[""villager"",""werewolf""]",2,1,1,0,0,2,4,2,1,1
default_seed_42_game_104,42,104,default,wolf,0,1,2,left,inner,"[5,7,8]",1,2,1,2,1,witch,0,edge,left,"[1,7]","[""witch"",""werewolf""]",2,1,1,0,0,2,3,4,2,2
default_seed_42_game_105,42,105,default,village,1,0,4,left,inner,"[3,5,8]",1,2,2,1,7,villager,0,inner,right,"[7,8,10,5]","[""villager"",""werewolf"",""villager"",""werewolf""]",4,1,2,0,1,,4,2,0,2
default_seed_42_game_106,42,106,default,wolf,0,1,2,left,inner,"[3,7,9]",0,3,1,2,7,werewolf,1,inner,right,"[7,10]","[""werewolf"",""villager""]",2,1,1,1,0,2,4,2,1,1
default_seed_42_game_107,42,107,default,village,1,0,2,left,inner,"[4,5,7]",1,2,2,1,8,villager,0,inner,right,"[8,4,6]","[""villager"",""werewolf"",""villager""]",3,1,1,0,0,3,3,3,0,3
default_seed_42_game_108,42,108,default,wolf,0,1,5,left,edge,"[3,4,6]",1,2,2,1,9,hunter,0,inner,right,"[9,7,8]","[""hunter"",""villager"",""villager""]",3,0,0,0,0,3,4,4,2,2
default_seed_42_game_109,42,109,default,village,1,0,10,right,edge,"[3,5,6]",2,1,2,1,3,werewolf,1,inner,left,"[3,6,5]","[""werewolf"",""werewolf"",""werewolf""]",3,1,3,1,1,,3,3,0,3
default_seed_42_game_110,42,110,default,wolf,0,1,2,left,inner,"[3,8,10]",1,2,1,2,9,hunter,0,inner,right,"[9,6]","[""hunter"",""villager""]",2,0,0,0,0,2,5,2,1,1
default_seed_42_game_111,42,111,default,wolf,0,1,2,left,inner,"[4,9,10]",1,2,1,2,8,villager,0,inner,right,"[8,5]","[""villager"",""hunter""]",2,0,0,0,0,2,2,6,3,3
default_seed_42_game_112,42,112,default,wolf,0,1,5,left,edge,"[3,4,6]",1,2,2,1,4,werewolf,1,inner,left,"[4,6,1,2]","[""werewolf"",""werewolf"",""witch"",""villager""]",4,1,2,1,0,4,4,2,1,1
default_seed_42_game_113,42,113,default,village,1,0,3,left,inner,"[1,6,10]",3,0,1,2,4,villager,0,inner,left,[4],"[""villager""]",1,0,0,0,0,1,3,3,0,3
default_seed_42_game_114,42,114,default,village,1,0,8,right,inner,"[3,5,9]",1,2,2,1,9,werewolf,1,inner,right,"[9,1,3]","[""werewolf"",""witch"",""werewolf""]",3,1,2,1,1,,3,4,0,4
default_seed_42_game_115,42,115,default,wolf,0,1,3,left,inner,"[4,7,10]",1,2,1,2,9,villager,0,inner,right,[9],"[""villager""]",1,0,0,0,0,1,4,2,1,1
default_seed_42_game_116,42,116,default,wolf,0,1,9,right,inner,"[2,6,10]",2,1,1,2,10,werewolf,1,edge,right,"[10,8]","[""werewolf"",""villager""]",2,1,1,1,0,2,5,2,1,1
default_seed_42_game_117,42,117,default,wolf,0,1,9,right,inner,"[3,5,8]",1,2,2,1,7,witch,0,inner,right,"[7,5,10,2]","[""witch"",""werewolf"",""hunter"",""villager""]",4,1,1,0,0,4,4,2,1,1
default_seed_42_game_118,42,118,default,wolf,0,1,9,right,inner,"[3,4,10]",1,2,2,1,3,werewolf,1,inner,left,"[3,8,6]","[""werewolf"",""villager"",""hunter""]",3,1,1,1,1,,3,4,2,2
default_seed_42_game_119,42,119,default,wolf,0,1,6,right,edge,"[2,5,7]",1,2,2,1,9,villager,0,inner,right,"[9,1]","[""villager"",""villager""]",2,0,0,0,0,2,3,4,2,2
default_seed_42_game_120,42,120,default,wolf,0,1,6,right,edge,"[4,7,8]",0,3,1,2,3,witch,0,inner,left,[3],"[""witch""]",1,0,0,0,0,1,2,6,3,3
default_seed_42_game_121,42,121,default,village,1,0,8,right,inner,"[3,9,10]",1,2,1,2,7,villager,0,inner,right,"[7,3,3,6]","[""villager"",""werewolf"",""werewolf"",""hunter""]",4,1,2,0,1,,4,2,0,2
default_seed_42_game_122,42,122,default,wolf,0,1,8,right,inner,"[3,7,9]",0,3,1,2,2,villager,0,inner,left,"[2,1,10,9]","[""villager"",""villager"",""witch"",""werewolf""]",4,1,1,0,0,4,4,2,1,1
default_seed_42_game_123,42,123,default,village,1,0,10,right,edge,"[2,8,9]",0,3,1,2,1,villager,0,edge,left,"[1,4,4]","[""villager"",""villager"",""villager""]",3,0,0,0,0,3,4,2,0,2
default_seed_42_game_124,42,124,default,wolf,0,1,5,left,edge,"[1,4,8]",1,2,2,1,10,villager,0,edge,right,"[10,4,10]","[""villager"",""werewolf"",""villager""]",3,1,1,0,1,,3,4,2,2
default_seed_42_game_125,42,125,default,wolf,0,1,1,left,edge,"[4,5,9]",1,2,2,1,5,werewolf,1,edge,left,"[5,9,2,4]","[""werewolf"",""werewolf"",""villager"",""werewolf""]",4,1,3,1,0,4,4,2,1,1
default_seed_42_game_126,42,126,default,village,1,0,5,left,edge,"[3,7,8]",0,3,1,2,8,werewolf,1,inner,right,"[8,7]","[""werewolf"",""werewolf""]",2,1,2,1,1,,2,6,0,6
default_seed_42_game_127,42,127,default,village,1,0,2,left,inner,"[1,3,5]",2,1,3,0,7,villager,0,inner,right,[7],"[""villager""]",1,0,0,0,0,1,4,2,0,2
default_seed_42_game_128,42,128,default,wolf,0,1,2,left,inner,"[4,5,6]",2,1,2,1,8,villager,0,inner,right,"[8,4]","[""villager"",""werewolf""]",2,1,1,0,0,2,2,6,3,3
