split_group_id,split_name,split_level,behavioral_regime_id,game_family_id,base_configuration_id,seed,base_game_index
regime_mixed_rule_policy_seed_52_base_1,final_test,B_unseen_seed,mixed_rule_policy,regime_mixed_rule_policy_seed_52_base_1,regime_mixed_rule_policy_seed_52_base_1,52,1
regime_mixed_rule_policy_seed_52_base_2,final_test,B_unseen_seed,mixed_rule_policy,regime_mixed_rule_policy_seed_52_base_2,regime_mixed_rule_policy_seed_52_base_2,52,2
regime_mixed_rule_policy_seed_53_base_1,final_test,B_unseen_seed,mixed_rule_policy,regime_mixed_rule_policy_seed_53_base_1,regime_mixed_rule_policy_seed_53_base_1,53,1
regime_mixed_rule_policy_seed_53_base_2,final_test,B_unseen_seed,mixed_rule_policy,regime_mixed_rule_policy_seed_53_base_2,regime_mixed_rule_policy_seed_53_base_2,53,2
regime_seat_order_neutral_policy_seed_42_base_1,train,A_in_distribution,seat_order_neutral_policy,regime_seat_order_neutral_policy_seed_42_base_1,regime_seat_order_neutral_policy_seed_42_base_1,42,1
regime_seat_order_neutral_policy_seed_42_base_2,train,A_in_distribution,seat_order_neutral_policy,regime_seat_order_neutral_policy_seed_42_base_2,regime_seat_order_neutral_policy_seed_42_base_2,42,2
regime_seat_order_neutral_policy_seed_43_base_1,train,A_in_distribution,seat_order_neutral_policy,regime_seat_order_neutral_policy_seed_43_base_1,regime_seat_order_neutral_policy_seed_43_base_1,43,1
regime_seat_order_neutral_policy_seed_43_base_2,train,A_in_distribution,seat_order_neutral_policy,regime_seat_order_neutral_policy_seed_43_base_2,regime_seat_order_neutral_policy_seed_43_base_2,43,2
regime_seat_order_neutral_policy_seed_44_base_1,train,A_in_distribution,seat_order_neutral_policy,regime_seat_order_neutral_policy_seed_44_base_1,regime_seat_order_neutral_policy_seed_44_base_1,44,1
regime_seat_order_neutral_policy_seed_44_base_2,train,A_in_distribution,seat_order_neutral_policy,regime_seat_order_neutral_policy_seed_44_base_2,regime_seat_order_neutral_policy_seed_44_base_2,44,2
regime_seat_order_neutral_policy_seed_50_base_1,validation,A_in_distribution,seat_order_neutral_policy,regime_seat_order_neutral_policy_seed_50_base_1,regime_seat_order_neutral_policy_seed_50_base_1,50,1
regime_seat_order_neutral_policy_seed_50_base_2,validation,A_in_distribution,seat_order_neutral_policy,regime_seat_order_neutral_policy_seed_50_base_2,regime_seat_order_neutral_policy_seed_50_base_2,50,2
regime_seat_order_neutral_policy_seed_52_base_1,final_test,B_unseen_seed,seat_order_neutral_policy,regime_seat_order_neutral_policy_seed_52_base_1,regime_seat_order_neutral_policy_seed_52_base_1,52,1
regime_seat_order_neutral_policy_seed_52_base_2,final_test,B_unseen_seed,seat_order_neutral_policy,regime_seat_order_neutral_policy_seed_52_base_2,regime_seat_order_neutral_policy_seed_52_base_2,52,2
regime_seat_order_neutral_policy_seed_53_base_1,final_test,B_unseen_seed,seat_order_neutral_policy,regime_seat_order_neutral_policy_seed_53_base_1,regime_seat_order_neutral_policy_seed_53_base_1,53,1
regime_seat_order_neutral_policy_seed_53_base_2,final_test,B_unseen_seed,seat_order_neutral_policy,regime_seat_order_neutral_policy_seed_53_base_2,regime_seat_order_neutral_policy_seed_53_base_2,53,2
regime_speech_and_herding_policy_seed_42_base_1,train,A_in_distribution,speech_and_herding_policy,regime_speech_and_herding_policy_seed_42_base_1,regime_speech_and_herding_policy_seed_42_base_1,42,1
regime_speech_and_herding_policy_seed_42_base_2,train,A_in_distribution,speech_and_herding_policy,regime_speech_and_herding_policy_seed_42_base_2,regime_speech_and_herding_policy_seed_42_base_2,42,2
regime_speech_and_herding_policy_seed_43_base_1,train,A_in_distribution,speech_and_herding_policy,regime_speech_and_herding_policy_seed_43_base_1,regime_speech_and_herding_policy_seed_43_base_1,43,1
regime_speech_and_herding_policy_seed_43_base_2,train,A_in_distribution,speech_and_herding_policy,regime_speech_and_herding_policy_seed_43_base_2,regime_speech_and_herding_policy_seed_43_base_2,43,2
regime_speech_and_herding_policy_seed_44_base_1,train,A_in_distribution,speech_and_herding_policy,regime_speech_and_herding_policy_seed_44_base_1,regime_speech_and_herding_policy_seed_44_base_1,44,1
regime_speech_and_herding_policy_seed_44_base_2,train,A_in_distribution,speech_and_herding_policy,regime_speech_and_herding_policy_seed_44_base_2,regime_speech_and_herding_policy_seed_44_base_2,44,2
regime_speech_and_herding_policy_seed_50_base_1,validation,A_in_distribution,speech_and_herding_policy,regime_speech_and_herding_policy_seed_50_base_1,regime_speech_and_herding_policy_seed_50_base_1,50,1
regime_speech_and_herding_policy_seed_50_base_2,validation,A_in_distribution,speech_and_herding_policy,regime_speech_and_herding_policy_seed_50_base_2,regime_speech_and_herding_policy_seed_50_base_2,50,2
regime_speech_and_herding_policy_seed_52_base_1,final_test,B_unseen_seed,speech_and_herding_policy,regime_speech_and_herding_policy_seed_52_base_1,regime_speech_and_herding_policy_seed_52_base_1,52,1
regime_speech_and_herding_policy_seed_52_base_2,final_test,B_unseen_seed,speech_and_herding_policy,regime_speech_and_herding_policy_seed_52_base_2,regime_speech_and_herding_policy_seed_52_base_2,52,2
regime_speech_and_herding_policy_seed_53_base_1,final_test,B_unseen_seed,speech_and_herding_policy,regime_speech_and_herding_policy_seed_53_base_1,regime_speech_and_herding_policy_seed_53_base_1,53,1
regime_speech_and_herding_policy_seed_53_base_2,final_test,B_unseen_seed,speech_and_herding_policy,regime_speech_and_herding_policy_seed_53_base_2,regime_speech_and_herding_policy_seed_53_base_2,53,2
regime_deception_enabled_policy_seed_42_base_1,ood_test,C_out_of_distribution,deception_enabled_policy,regime_deception_enabled_policy_seed_42_base_1,regime_deception_enabled_policy_seed_42_base_1,42,1
regime_deception_enabled_policy_seed_42_base_2,ood_test,C_out_of_distribution,deception_enabled_policy,regime_deception_enabled_policy_seed_42_base_2,regime_deception_enabled_policy_seed_42_base_2,42,2
regime_deception_enabled_policy_seed_43_base_1,ood_test,C_out_of_distribution,deception_enabled_policy,regime_deception_enabled_policy_seed_43_base_1,regime_deception_enabled_policy_seed_43_base_1,43,1
regime_deception_enabled_policy_seed_43_base_2,ood_test,C_out_of_distribution,deception_enabled_policy,regime_deception_enabled_policy_seed_43_base_2,regime_deception_enabled_policy_seed_43_base_2,43,2
regime_deception_enabled_policy_seed_44_base_1,ood_test,C_out_of_distribution,deception_enabled_policy,regime_deception_enabled_policy_seed_44_base_1,regime_deception_enabled_policy_seed_44_base_1,44,1
regime_deception_enabled_policy_seed_44_base_2,ood_test,C_out_of_distribution,deception_enabled_policy,regime_deception_enabled_policy_seed_44_base_2,regime_deception_enabled_policy_seed_44_base_2,44,2
regime_deception_enabled_policy_seed_50_base_1,ood_test,C_out_of_distribution,deception_enabled_policy,regime_deception_enabled_policy_seed_50_base_1,regime_deception_enabled_policy_seed_50_base_1,50,1
regime_deception_enabled_policy_seed_50_base_2,ood_test,C_out_of_distribution,deception_enabled_policy,regime_deception_enabled_policy_seed_50_base_2,regime_deception_enabled_policy_seed_50_base_2,50,2
regime_deception_enabled_policy_seed_52_base_1,ood_test,C_out_of_distribution,deception_enabled_policy,regime_deception_enabled_policy_seed_52_base_1,regime_deception_enabled_policy_seed_52_base_1,52,1
regime_deception_enabled_policy_seed_52_base_2,ood_test,C_out_of_distribution,deception_enabled_policy,regime_deception_enabled_policy_seed_52_base_2,regime_deception_enabled_policy_seed_52_base_2,52,2
regime_deception_enabled_policy_seed_53_base_1,ood_test,C_out_of_distribution,deception_enabled_policy,regime_deception_enabled_policy_seed_53_base_1,regime_deception_enabled_policy_seed_53_base_1,53,1
regime_deception_enabled_policy_seed_53_base_2,ood_test,C_out_of_distribution,deception_enabled_policy,regime_deception_enabled_policy_seed_53_base_2,regime_deception_enabled_policy_seed_53_base_2,53,2
regime_risk_heterogeneous_policy_seed_42_base_1,ood_test,C_out_of_distribution,risk_heterogeneous_policy,regime_risk_heterogeneous_policy_seed_42_base_1,regime_risk_heterogeneous_policy_seed_42_base_1,42,1
regime_risk_heterogeneous_policy_seed_42_base_2,ood_test,C_out_of_distribution,risk_heterogeneous_policy,regime_risk_heterogeneous_policy_seed_42_base_2,regime_risk_heterogeneous_policy_seed_42_base_2,42,2
regime_risk_heterogeneous_policy_seed_43_base_1,ood_test,C_out_of_distribution,risk_heterogeneous_policy,regime_risk_heterogeneous_policy_seed_43_base_1,regime_risk_heterogeneous_policy_seed_43_base_1,43,1
regime_risk_heterogeneous_policy_seed_43_base_2,ood_test,C_out_of_distribution,risk_heterogeneous_policy,regime_risk_heterogeneous_policy_seed_43_base_2,regime_risk_heterogeneous_policy_seed_43_base_2,43,2
regime_risk_heterogeneous_policy_seed_44_base_1,ood_test,C_out_of_distribution,risk_heterogeneous_policy,regime_risk_heterogeneous_policy_seed_44_base_1,regime_risk_heterogeneous_policy_seed_44_base_1,44,1
regime_risk_heterogeneous_policy_seed_44_base_2,ood_test,C_out_of_distribution,risk_heterogeneous_policy,regime_risk_heterogeneous_policy_seed_44_base_2,regime_risk_heterogeneous_policy_seed_44_base_2,44,2
regime_risk_heterogeneous_policy_seed_50_base_1,ood_test,C_out_of_distribution,risk_heterogeneous_policy,regime_risk_heterogeneous_policy_seed_50_base_1,regime_risk_heterogeneous_policy_seed_50_base_1,50,1
regime_risk_heterogeneous_policy_seed_50_base_2,ood_test,C_out_of_distribution,risk_heterogeneous_policy,regime_risk_heterogeneous_policy_seed_50_base_2,regime_risk_heterogeneous_policy_seed_50_base_2,50,2
regime_risk_heterogeneous_policy_seed_52_base_1,ood_test,C_out_of_distribution,risk_heterogeneous_policy,regime_risk_heterogeneous_policy_seed_52_base_1,regime_risk_heterogeneous_policy_seed_52_base_1,52,1
regime_risk_heterogeneous_policy_seed_52_base_2,ood_test,C_out_of_distribution,risk_heterogeneous_policy,regime_risk_heterogeneous_policy_seed_52_base_2,regime_risk_heterogeneous_policy_seed_52_base_2,52,2
regime_risk_heterogeneous_policy_seed_53_base_1,ood_test,C_out_of_distribution,risk_heterogeneous_policy,regime_risk_heterogeneous_policy_seed_53_base_1,regime_risk_heterogeneous_policy_seed_53_base_1,53,1
regime_risk_heterogeneous_policy_seed_53_base_2,ood_test,C_out_of_distribution,risk_heterogeneous_policy,regime_risk_heterogeneous_policy_seed_53_base_2,regime_risk_heterogeneous_policy_seed_53_base_2,53,2
