coefficient,coefficient_stdev_across_development_folds,feature,stability_method,stability_note
0.0,NA,actor_risk_aggressive,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,actor_previous_votes_made,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,actor_previous_speeches_made,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,actor_known_teammate_count,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_alive,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_checked_by_actor_status,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_public_role_known,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_suspicion_score,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
-0.0008240404186213413,NA,candidate_p_wolf,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_received_accusations,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_made_accusations,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_wrong_accusation_count,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_vote_received_count,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_vote_made_count,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_vote_switch_count,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_speech_count,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_defense_count,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_role_claim_count,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_special_role_claim_count,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_trust_from_actor,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_conflict_with_actor,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_support_from_actor,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_public_influence_proxy,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
-0.00026396288975516475,NA,candidate_physical_seat_numeric,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
-0.00832902046978581,NA,candidate_seat_is_edge,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
-0.00033577310867680154,NA,candidate_side_is_left,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.013866111340798607,NA,candidate_distance_from_actor,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_search_coverage_bonus,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_was_previously_targeted_by_actor,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_known_wolf_to_actor,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_known_village_to_actor,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,candidate_current_vote_count,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,current_vote_total,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
-0.0008240404186213413,NA,candidate_uncertainty_proxy,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0008240404186213401,NA,candidate_survival_proxy,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
