base_configuration_id,base_game_index,behavioral_regime,dataset_split,game_family_id,game_id,seed,utterance_count,winner
r2_train_trust_weighted_memory,15,trust_weighted_memory,train,train_trust_weighted_memory_300_15,r2_train_trust_weighted_memory_seed_300_game_15,300,22,village
r2_train_trust_weighted_memory,16,trust_weighted_memory,train,train_trust_weighted_memory_300_16,r2_train_trust_weighted_memory_seed_300_game_16,300,17,wolf
r2_train_trust_weighted_memory,17,trust_weighted_memory,train,train_trust_weighted_memory_300_17,r2_train_trust_weighted_memory_seed_300_game_17,300,17,wolf
r2_train_trust_weighted_memory,18,trust_weighted_memory,train,train_trust_weighted_memory_300_18,r2_train_trust_weighted_memory_seed_300_game_18,300,22,wolf
r2_train_trust_weighted_memory,19,trust_weighted_memory,train,train_trust_weighted_memory_300_19,r2_train_trust_weighted_memory_seed_300_game_19,300,17,wolf
r2_train_trust_weighted_memory,20,trust_weighted_memory,train,train_trust_weighted_memory_300_20,r2_train_trust_weighted_memory_seed_300_game_20,300,17,wolf
r2_train_random_vote_speech,1,random_vote_speech,train,train_random_vote_speech_300_1,r2_train_random_vote_speech_seed_300_game_1,300,17,wolf
r2_train_random_vote_speech,2,random_vote_speech,train,train_random_vote_speech_300_2,r2_train_random_vote_speech_seed_300_game_2,300,17,wolf
r2_train_random_vote_speech,3,random_vote_speech,train,train_random_vote_speech_300_3,r2_train_random_vote_speech_seed_300_game_3,300,20,village
r2_train_random_vote_speech,4,random_vote_speech,train,train_random_vote_speech_300_4,r2_train_random_vote_speech_seed_300_game_4,300,16,wolf
r2_train_random_vote_speech,5,random_vote_speech,train,train_random_vote_speech_300_5,r2_train_random_vote_speech_seed_300_game_5,300,25,wolf
r2_train_random_vote_speech,6,random_vote_speech,train,train_random_vote_speech_300_6,r2_train_random_vote_speech_seed_300_game_6,300,21,wolf
r2_train_random_vote_speech,7,random_vote_speech,train,train_random_vote_speech_300_7,r2_train_random_vote_speech_seed_300_game_7,300,17,village
r2_train_random_vote_speech,8,random_vote_speech,train,train_random_vote_speech_300_8,r2_train_random_vote_speech_seed_300_game_8,300,22,wolf
r2_train_random_vote_speech,9,random_vote_speech,train,train_random_vote_speech_300_9,r2_train_random_vote_speech_seed_300_game_9,300,15,village
r2_train_random_vote_speech,10,random_vote_speech,train,train_random_vote_speech_300_10,r2_train_random_vote_speech_seed_300_game_10,300,22,wolf
r2_train_random_vote_speech,11,random_vote_speech,train,train_random_vote_speech_300_11,r2_train_random_vote_speech_seed_300_game_11,300,16,wolf
r2_train_random_vote_speech,12,random_vote_speech,train,train_random_vote_speech_300_12,r2_train_random_vote_speech_seed_300_game_12,300,18,wolf
r2_train_random_vote_speech,13,random_vote_speech,train,train_random_vote_speech_300_13,r2_train_random_vote_speech_seed_300_game_13,300,24,village
r2_train_random_vote_speech,14,random_vote_speech,train,train_random_vote_speech_300_14,r2_train_random_vote_speech_seed_300_game_14,300,25,village
r2_train_random_vote_speech,15,random_vote_speech,train,train_random_vote_speech_300_15,r2_train_random_vote_speech_seed_300_game_15,300,25,wolf
r2_train_random_vote_speech,16,random_vote_speech,train,train_random_vote_speech_300_16,r2_train_random_vote_speech_seed_300_game_16,300,26,wolf
r2_train_random_vote_speech,17,random_vote_speech,train,train_random_vote_speech_300_17,r2_train_random_vote_speech_seed_300_game_17,300,18,wolf
r2_train_random_vote_speech,18,random_vote_speech,train,train_random_vote_speech_300_18,r2_train_random_vote_speech_seed_300_game_18,300,19,village
r2_train_random_vote_speech,19,random_vote_speech,train,train_random_vote_speech_300_19,r2_train_random_vote_speech_seed_300_game_19,300,22,wolf
r2_train_random_vote_speech,20,random_vote_speech,train,train_random_vote_speech_300_20,r2_train_random_vote_speech_seed_300_game_20,300,25,wolf
r2_train_balanced_social,1,balanced_social,train,train_balanced_social_301_1,r2_train_balanced_social_seed_301_game_1,301,22,wolf
r2_train_balanced_social,2,balanced_social,train,train_balanced_social_301_2,r2_train_balanced_social_seed_301_game_2,301,17,wolf
r2_train_balanced_social,3,balanced_social,train,train_balanced_social_301_3,r2_train_balanced_social_seed_301_game_3,301,25,wolf
r2_train_balanced_social,4,balanced_social,train,train_balanced_social_301_4,r2_train_balanced_social_seed_301_game_4,301,21,wolf
r2_train_balanced_social,5,balanced_social,train,train_balanced_social_301_5,r2_train_balanced_social_seed_301_game_5,301,17,village
r2_train_balanced_social,6,balanced_social,train,train_balanced_social_301_6,r2_train_balanced_social_seed_301_game_6,301,23,village
r2_train_balanced_social,7,balanced_social,train,train_balanced_social_301_7,r2_train_balanced_social_seed_301_game_7,301,17,wolf
r2_train_balanced_social,8,balanced_social,train,train_balanced_social_301_8,r2_train_balanced_social_seed_301_game_8,301,18,wolf
r2_train_balanced_social,9,balanced_social,train,train_balanced_social_301_9,r2_train_balanced_social_seed_301_game_9,301,17,village
r2_train_balanced_social,10,balanced_social,train,train_balanced_social_301_10,r2_train_balanced_social_seed_301_game_10,301,18,wolf
r2_train_balanced_social,11,balanced_social,train,train_balanced_social_301_11,r2_train_balanced_social_seed_301_game_11,301,28,wolf
r2_train_balanced_social,12,balanced_social,train,train_balanced_social_301_12,r2_train_balanced_social_seed_301_game_12,301,23,wolf
r2_train_balanced_social,13,balanced_social,train,train_balanced_social_301_13,r2_train_balanced_social_seed_301_game_13,301,21,wolf
r2_train_balanced_social,14,balanced_social,train,train_balanced_social_301_14,r2_train_balanced_social_seed_301_game_14,301,25,village
r2_train_balanced_social,15,balanced_social,train,train_balanced_social_301_15,r2_train_balanced_social_seed_301_game_15,301,21,village
r2_train_balanced_social,16,balanced_social,train,train_balanced_social_301_16,r2_train_balanced_social_seed_301_game_16,301,24,wolf
r2_train_balanced_social,17,balanced_social,train,train_balanced_social_301_17,r2_train_balanced_social_seed_301_game_17,301,18,wolf
r2_train_balanced_social,18,balanced_social,train,train_balanced_social_301_18,r2_train_balanced_social_seed_301_game_18,301,14,wolf
r2_train_balanced_social,19,balanced_social,train,train_balanced_social_301_19,r2_train_balanced_social_seed_301_game_19,301,22,wolf
r2_train_balanced_social,20,balanced_social,train,train_balanced_social_301_20,r2_train_balanced_social_seed_301_game_20,301,13,wolf
r2_train_deception_adaptive,1,deception_adaptive,train,train_deception_adaptive_301_1,r2_train_deception_adaptive_seed_301_game_1,301,18,wolf
r2_train_deception_adaptive,2,deception_adaptive,train,train_deception_adaptive_301_2,r2_train_deception_adaptive_seed_301_game_2,301,16,wolf
r2_train_deception_adaptive,3,deception_adaptive,train,train_deception_adaptive_301_3,r2_train_deception_adaptive_seed_301_game_3,301,25,village
r2_train_deception_adaptive,4,deception_adaptive,train,train_deception_adaptive_301_4,r2_train_deception_adaptive_seed_301_game_4,301,9,wolf
r2_train_deception_adaptive,5,deception_adaptive,train,train_deception_adaptive_301_5,r2_train_deception_adaptive_seed_301_game_5,301,24,village
r2_train_deception_adaptive,6,deception_adaptive,train,train_deception_adaptive_301_6,r2_train_deception_adaptive_seed_301_game_6,301,17,wolf
r2_train_deception_adaptive,7,deception_adaptive,train,train_deception_adaptive_301_7,r2_train_deception_adaptive_seed_301_game_7,301,17,wolf
r2_train_deception_adaptive,8,deception_adaptive,train,train_deception_adaptive_301_8,r2_train_deception_adaptive_seed_301_game_8,301,24,village
r2_train_deception_adaptive,9,deception_adaptive,train,train_deception_adaptive_301_9,r2_train_deception_adaptive_seed_301_game_9,301,22,wolf
r2_train_deception_adaptive,10,deception_adaptive,train,train_deception_adaptive_301_10,r2_train_deception_adaptive_seed_301_game_10,301,9,wolf
r2_train_deception_adaptive,11,deception_adaptive,train,train_deception_adaptive_301_11,r2_train_deception_adaptive_seed_301_game_11,301,22,wolf
r2_train_deception_adaptive,12,deception_adaptive,train,train_deception_adaptive_301_12,r2_train_deception_adaptive_seed_301_game_12,301,16,wolf
r2_train_deception_adaptive,13,deception_adaptive,train,train_deception_adaptive_301_13,r2_train_deception_adaptive_seed_301_game_13,301,26,wolf
r2_train_deception_adaptive,14,deception_adaptive,train,train_deception_adaptive_301_14,r2_train_deception_adaptive_seed_301_game_14,301,24,wolf
r2_train_deception_adaptive,15,deception_adaptive,train,train_deception_adaptive_301_15,r2_train_deception_adaptive_seed_301_game_15,301,22,village
r2_train_deception_adaptive,16,deception_adaptive,train,train_deception_adaptive_301_16,r2_train_deception_adaptive_seed_301_game_16,301,25,village
r2_train_deception_adaptive,17,deception_adaptive,train,train_deception_adaptive_301_17,r2_train_deception_adaptive_seed_301_game_17,301,16,wolf
r2_train_deception_adaptive,18,deception_adaptive,train,train_deception_adaptive_301_18,r2_train_deception_adaptive_seed_301_game_18,301,22,village
r2_train_deception_adaptive,19,deception_adaptive,train,train_deception_adaptive_301_19,r2_train_deception_adaptive_seed_301_game_19,301,25,village
r2_train_deception_adaptive,20,deception_adaptive,train,train_deception_adaptive_301_20,r2_train_deception_adaptive_seed_301_game_20,301,17,wolf
r2_train_trust_weighted_memory,1,trust_weighted_memory,train,train_trust_weighted_memory_301_1,r2_train_trust_weighted_memory_seed_301_game_1,301,17,wolf
r2_train_trust_weighted_memory,2,trust_weighted_memory,train,train_trust_weighted_memory_301_2,r2_train_trust_weighted_memory_seed_301_game_2,301,15,wolf
r2_train_trust_weighted_memory,3,trust_weighted_memory,train,train_trust_weighted_memory_301_3,r2_train_trust_weighted_memory_seed_301_game_3,301,24,wolf
r2_train_trust_weighted_memory,4,trust_weighted_memory,train,train_trust_weighted_memory_301_4,r2_train_trust_weighted_memory_seed_301_game_4,301,17,village
r2_train_trust_weighted_memory,5,trust_weighted_memory,train,train_trust_weighted_memory_301_5,r2_train_trust_weighted_memory_seed_301_game_5,301,22,village
r2_train_trust_weighted_memory,6,trust_weighted_memory,train,train_trust_weighted_memory_301_6,r2_train_trust_weighted_memory_seed_301_game_6,301,23,wolf
r2_train_trust_weighted_memory,7,trust_weighted_memory,train,train_trust_weighted_memory_301_7,r2_train_trust_weighted_memory_seed_301_game_7,301,22,wolf
r2_train_trust_weighted_memory,8,trust_weighted_memory,train,train_trust_weighted_memory_301_8,r2_train_trust_weighted_memory_seed_301_game_8,301,16,wolf
r2_train_trust_weighted_memory,9,trust_weighted_memory,train,train_trust_weighted_memory_301_9,r2_train_trust_weighted_memory_seed_301_game_9,301,24,wolf
r2_train_trust_weighted_memory,10,trust_weighted_memory,train,train_trust_weighted_memory_301_10,r2_train_trust_weighted_memory_seed_301_game_10,301,18,wolf
r2_train_trust_weighted_memory,11,trust_weighted_memory,train,train_trust_weighted_memory_301_11,r2_train_trust_weighted_memory_seed_301_game_11,301,28,village
r2_train_trust_weighted_memory,12,trust_weighted_memory,train,train_trust_weighted_memory_301_12,r2_train_trust_weighted_memory_seed_301_game_12,301,24,wolf
r2_train_trust_weighted_memory,13,trust_weighted_memory,train,train_trust_weighted_memory_301_13,r2_train_trust_weighted_memory_seed_301_game_13,301,24,wolf
r2_train_trust_weighted_memory,14,trust_weighted_memory,train,train_trust_weighted_memory_301_14,r2_train_trust_weighted_memory_seed_301_game_14,301,22,village
r2_train_trust_weighted_memory,15,trust_weighted_memory,train,train_trust_weighted_memory_301_15,r2_train_trust_weighted_memory_seed_301_game_15,301,24,village
r2_train_trust_weighted_memory,16,trust_weighted_memory,train,train_trust_weighted_memory_301_16,r2_train_trust_weighted_memory_seed_301_game_16,301,23,village
r2_train_trust_weighted_memory,17,trust_weighted_memory,train,train_trust_weighted_memory_301_17,r2_train_trust_weighted_memory_seed_301_game_17,301,16,wolf
r2_train_trust_weighted_memory,18,trust_weighted_memory,train,train_trust_weighted_memory_301_18,r2_train_trust_weighted_memory_seed_301_game_18,301,24,wolf
r2_train_trust_weighted_memory,19,trust_weighted_memory,train,train_trust_weighted_memory_301_19,r2_train_trust_weighted_memory_seed_301_game_19,301,17,wolf
r2_train_trust_weighted_memory,20,trust_weighted_memory,train,train_trust_weighted_memory_301_20,r2_train_trust_weighted_memory_seed_301_game_20,301,22,wolf
r2_train_random_vote_speech,1,random_vote_speech,train,train_random_vote_speech_301_1,r2_train_random_vote_speech_seed_301_game_1,301,20,wolf
r2_train_random_vote_speech,2,random_vote_speech,train,train_random_vote_speech_301_2,r2_train_random_vote_speech_seed_301_game_2,301,19,wolf
r2_train_random_vote_speech,3,random_vote_speech,train,train_random_vote_speech_301_3,r2_train_random_vote_speech_seed_301_game_3,301,19,wolf
r2_train_random_vote_speech,4,random_vote_speech,train,train_random_vote_speech_301_4,r2_train_random_vote_speech_seed_301_game_4,301,19,wolf
r2_train_random_vote_speech,5,random_vote_speech,train,train_random_vote_speech_301_5,r2_train_random_vote_speech_seed_301_game_5,301,25,wolf
r2_train_random_vote_speech,6,random_vote_speech,train,train_random_vote_speech_301_6,r2_train_random_vote_speech_seed_301_game_6,301,22,wolf
r2_train_random_vote_speech,7,random_vote_speech,train,train_random_vote_speech_301_7,r2_train_random_vote_speech_seed_301_game_7,301,22,wolf
r2_train_random_vote_speech,8,random_vote_speech,train,train_random_vote_speech_301_8,r2_train_random_vote_speech_seed_301_game_8,301,25,wolf
r2_train_random_vote_speech,9,random_vote_speech,train,train_random_vote_speech_301_9,r2_train_random_vote_speech_seed_301_game_9,301,22,wolf
r2_train_random_vote_speech,10,random_vote_speech,train,train_random_vote_speech_301_10,r2_train_random_vote_speech_seed_301_game_10,301,21,wolf
r2_train_random_vote_speech,11,random_vote_speech,train,train_random_vote_speech_301_11,r2_train_random_vote_speech_seed_301_game_11,301,17,wolf
r2_train_random_vote_speech,12,random_vote_speech,train,train_random_vote_speech_301_12,r2_train_random_vote_speech_seed_301_game_12,301,24,wolf
r2_train_random_vote_speech,13,random_vote_speech,train,train_random_vote_speech_301_13,r2_train_random_vote_speech_seed_301_game_13,301,14,wolf
r2_train_random_vote_speech,14,random_vote_speech,train,train_random_vote_speech_301_14,r2_train_random_vote_speech_seed_301_game_14,301,25,village
r2_train_random_vote_speech,15,random_vote_speech,train,train_random_vote_speech_301_15,r2_train_random_vote_speech_seed_301_game_15,301,23,village
r2_train_random_vote_speech,16,random_vote_speech,train,train_random_vote_speech_301_16,r2_train_random_vote_speech_seed_301_game_16,301,27,wolf
r2_train_random_vote_speech,17,random_vote_speech,train,train_random_vote_speech_301_17,r2_train_random_vote_speech_seed_301_game_17,301,17,wolf
r2_train_random_vote_speech,18,random_vote_speech,train,train_random_vote_speech_301_18,r2_train_random_vote_speech_seed_301_game_18,301,25,wolf
r2_train_random_vote_speech,19,random_vote_speech,train,train_random_vote_speech_301_19,r2_train_random_vote_speech_seed_301_game_19,301,20,village
r2_train_random_vote_speech,20,random_vote_speech,train,train_random_vote_speech_301_20,r2_train_random_vote_speech_seed_301_game_20,301,25,wolf
r2_train_balanced_social,1,balanced_social,train,train_balanced_social_302_1,r2_train_balanced_social_seed_302_game_1,302,24,village
r2_train_balanced_social,2,balanced_social,train,train_balanced_social_302_2,r2_train_balanced_social_seed_302_game_2,302,21,village
r2_train_balanced_social,3,balanced_social,train,train_balanced_social_302_3,r2_train_balanced_social_seed_302_game_3,302,23,wolf
r2_train_balanced_social,4,balanced_social,train,train_balanced_social_302_4,r2_train_balanced_social_seed_302_game_4,302,18,village
r2_train_balanced_social,5,balanced_social,train,train_balanced_social_302_5,r2_train_balanced_social_seed_302_game_5,302,25,village
r2_train_balanced_social,6,balanced_social,train,train_balanced_social_302_6,r2_train_balanced_social_seed_302_game_6,302,16,wolf
r2_train_balanced_social,7,balanced_social,train,train_balanced_social_302_7,r2_train_balanced_social_seed_302_game_7,302,23,wolf
r2_train_balanced_social,8,balanced_social,train,train_balanced_social_302_8,r2_train_balanced_social_seed_302_game_8,302,22,village
r2_train_balanced_social,9,balanced_social,train,train_balanced_social_302_9,r2_train_balanced_social_seed_302_game_9,302,21,wolf
r2_train_balanced_social,10,balanced_social,train,train_balanced_social_302_10,r2_train_balanced_social_seed_302_game_10,302,8,village
r2_train_balanced_social,11,balanced_social,train,train_balanced_social_302_11,r2_train_balanced_social_seed_302_game_11,302,20,wolf
r2_train_balanced_social,12,balanced_social,train,train_balanced_social_302_12,r2_train_balanced_social_seed_302_game_12,302,20,village
r2_train_balanced_social,13,balanced_social,train,train_balanced_social_302_13,r2_train_balanced_social_seed_302_game_13,302,25,village
r2_train_balanced_social,14,balanced_social,train,train_balanced_social_302_14,r2_train_balanced_social_seed_302_game_14,302,17,village
r2_train_balanced_social,15,balanced_social,train,train_balanced_social_302_15,r2_train_balanced_social_seed_302_game_15,302,16,wolf
r2_train_balanced_social,16,balanced_social,train,train_balanced_social_302_16,r2_train_balanced_social_seed_302_game_16,302,24,wolf
r2_train_balanced_social,17,balanced_social,train,train_balanced_social_302_17,r2_train_balanced_social_seed_302_game_17,302,26,wolf
r2_train_balanced_social,18,balanced_social,train,train_balanced_social_302_18,r2_train_balanced_social_seed_302_game_18,302,17,wolf
r2_train_balanced_social,19,balanced_social,train,train_balanced_social_302_19,r2_train_balanced_social_seed_302_game_19,302,17,village
r2_train_balanced_social,20,balanced_social,train,train_balanced_social_302_20,r2_train_balanced_social_seed_302_game_20,302,28,village
r2_train_deception_adaptive,1,deception_adaptive,train,train_deception_adaptive_302_1,r2_train_deception_adaptive_seed_302_game_1,302,17,wolf
r2_train_deception_adaptive,2,deception_adaptive,train,train_deception_adaptive_302_2,r2_train_deception_adaptive_seed_302_game_2,302,17,wolf
r2_train_deception_adaptive,3,deception_adaptive,train,train_deception_adaptive_302_3,r2_train_deception_adaptive_seed_302_game_3,302,20,wolf
r2_train_deception_adaptive,4,deception_adaptive,train,train_deception_adaptive_302_4,r2_train_deception_adaptive_seed_302_game_4,302,25,village
r2_train_deception_adaptive,5,deception_adaptive,train,train_deception_adaptive_302_5,r2_train_deception_adaptive_seed_302_game_5,302,23,wolf
r2_train_deception_adaptive,6,deception_adaptive,train,train_deception_adaptive_302_6,r2_train_deception_adaptive_seed_302_game_6,302,20,wolf
r2_train_deception_adaptive,7,deception_adaptive,train,train_deception_adaptive_302_7,r2_train_deception_adaptive_seed_302_game_7,302,23,wolf
r2_train_deception_adaptive,8,deception_adaptive,train,train_deception_adaptive_302_8,r2_train_deception_adaptive_seed_302_game_8,302,18,wolf
r2_train_deception_adaptive,9,deception_adaptive,train,train_deception_adaptive_302_9,r2_train_deception_adaptive_seed_302_game_9,302,18,wolf
r2_train_deception_adaptive,10,deception_adaptive,train,train_deception_adaptive_302_10,r2_train_deception_adaptive_seed_302_game_10,302,17,wolf
r2_train_deception_adaptive,11,deception_adaptive,train,train_deception_adaptive_302_11,r2_train_deception_adaptive_seed_302_game_11,302,23,village
r2_train_deception_adaptive,12,deception_adaptive,train,train_deception_adaptive_302_12,r2_train_deception_adaptive_seed_302_game_12,302,24,wolf
r2_train_deception_adaptive,13,deception_adaptive,train,train_deception_adaptive_302_13,r2_train_deception_adaptive_seed_302_game_13,302,16,wolf
r2_train_deception_adaptive,14,deception_adaptive,train,train_deception_adaptive_302_14,r2_train_deception_adaptive_seed_302_game_14,302,17,village
r2_train_deception_adaptive,15,deception_adaptive,train,train_deception_adaptive_302_15,r2_train_deception_adaptive_seed_302_game_15,302,9,wolf
r2_train_deception_adaptive,16,deception_adaptive,train,train_deception_adaptive_302_16,r2_train_deception_adaptive_seed_302_game_16,302,18,wolf
r2_train_deception_adaptive,17,deception_adaptive,train,train_deception_adaptive_302_17,r2_train_deception_adaptive_seed_302_game_17,302,18,wolf
r2_train_deception_adaptive,18,deception_adaptive,train,train_deception_adaptive_302_18,r2_train_deception_adaptive_seed_302_game_18,302,20,wolf
r2_train_deception_adaptive,19,deception_adaptive,train,train_deception_adaptive_302_19,r2_train_deception_adaptive_seed_302_game_19,302,21,wolf
r2_train_deception_adaptive,20,deception_adaptive,train,train_deception_adaptive_302_20,r2_train_deception_adaptive_seed_302_game_20,302,16,wolf
r2_train_trust_weighted_memory,1,trust_weighted_memory,train,train_trust_weighted_memory_302_1,r2_train_trust_weighted_memory_seed_302_game_1,302,21,village
r2_train_trust_weighted_memory,2,trust_weighted_memory,train,train_trust_weighted_memory_302_2,r2_train_trust_weighted_memory_seed_302_game_2,302,17,wolf
r2_train_trust_weighted_memory,3,trust_weighted_memory,train,train_trust_weighted_memory_302_3,r2_train_trust_weighted_memory_seed_302_game_3,302,16,wolf
r2_train_trust_weighted_memory,4,trust_weighted_memory,train,train_trust_weighted_memory_302_4,r2_train_trust_weighted_memory_seed_302_game_4,302,17,wolf
